service,endpoint,http,rows_returned,total_count,note
/odata/v4/warehouse-management,OutboundDeliveries,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,OutboundDeliveryItems,501,,,"Entity ""saps4hana.ewm.WarehouseManagementService.OutboundDeliveryItems"" is annotated with ""@cds.persistence.skip"" and cannot be served generically."
/odata/v4/warehouse-management,WarehouseKPIs,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,WarehouseResources,400,,,Warehouse parameter or filter is required
/odata/v4/goods-issue,GoodsIssueQueue,200,0,0,EMPTY - 0 rows
/odata/v4/goods-issue,GIItems,200,0,0,EMPTY - 0 rows
/odata/v4/goods-issue,MaterialBatches,400,,,Material filter parameter is required to query batches
/odata/v4/goods-issue,OpenReservations,200,54,0,"sample keys with values: ReservationNo,OrderNo,Plant,MovementType,MovementTypeName,ItemCount,SampleMaterial,SampleMaterialDesc"
/odata/v4/goods-issue,getQueueSummary(),200,,,"{""@odata.context"":""$metadata#saps4hana.wm.GoodsIssueService.QueueSummary"",""QueuedCount"":0,""TotalCount"":0,""Items"":[],""StoreAvailable"":true}"
/odata/v4/goods-receipt,OpenInboundDeliveries,200,17,0,"sample keys with values: StorageUnit,DeliveryDocument,DeliveryDocumentItem,Material,MaterialName,PurchaseOrder,PurchaseOrderItem,Plant"
/odata/v4/goods-receipt,MaterialStorageLocations,502,,,Material parameter is required to query storage locations.
/odata/v4/goods-receipt,MaterialBatches,502,,,Material parameter is required to query batches.
